q[nm-1]	I(q)[sr-1]_Rocca_10m_eiger2_00011_00_00001_av_ave.h5_00001_[NS11_25C]_trm=0.873101	error
6.67967554e-03	1.58544609e+04	6.75905466e+00
7.14073004e-03	1.26096572e+04	3.89613485e+00
7.60178454e-03	9.80150977e+03	2.92293620e+00
8.06283858e-03	7.76808447e+03	2.33940482e+00
8.52389354e-03	6.21401807e+03	1.92854691e+00
8.98494758e-03	5.00009863e+03	1.61629641e+00
9.44600254e-03	4.08119189e+03	1.37945378e+00
9.90705658e-03	3.36964331e+03	1.19112599e+00
1.03681115e-02	2.81222095e+03	1.03934336e+00
1.08291656e-02	2.36404492e+03	9.16963935e-01
1.12902196e-02	2.00904395e+03	8.15172970e-01
1.17512746e-02	1.71976331e+03	7.26810217e-01
1.22123286e-02	1.47552026e+03	6.52183890e-01
1.26733836e-02	1.27455835e+03	5.88696361e-01
1.31344376e-02	1.10095581e+03	5.32005727e-01
1.35954916e-02	9.60541992e+02	4.84271109e-01
1.40565466e-02	8.45194641e+02	4.43339974e-01
1.45176006e-02	7.43100952e+02	4.05712605e-01
1.49786556e-02	6.56443237e+02	3.72505963e-01
1.54397096e-02	5.82297241e+02	3.43544662e-01
1.59007646e-02	5.17801392e+02	3.17112505e-01
1.63618177e-02	4.62330719e+02	2.93554038e-01
1.68228727e-02	4.15886169e+02	2.73610890e-01
1.72839276e-02	3.74153961e+02	2.54593790e-01
1.77449826e-02	3.36731995e+02	2.37409502e-01
1.82060357e-02	3.03225800e+02	2.18048960e-01
1.86670907e-02	2.76018005e+02	1.98876202e-01
1.91281457e-02	2.51161652e+02	1.83859631e-01
1.95891988e-02	2.29947510e+02	1.72349676e-01
2.00502537e-02	2.09770630e+02	1.62500173e-01
2.05113087e-02	1.91700745e+02	1.53351158e-01
2.09723637e-02	1.76079971e+02	1.45213693e-01
2.14334168e-02	1.62133514e+02	1.37716427e-01
2.18944717e-02	1.49582336e+02	1.30717635e-01
2.23555267e-02	1.38029083e+02	1.23979047e-01
2.28165798e-02	1.27779251e+02	1.17709734e-01
2.32776348e-02	1.17720032e+02	1.11676909e-01
2.37386897e-02	1.09359276e+02	1.06603444e-01
2.41997447e-02	1.02165031e+02	1.02010705e-01
2.46607978e-02	9.46755600e+01	9.71511155e-02
2.51218528e-02	8.83346863e+01	9.29590315e-02
2.55829077e-02	8.27738190e+01	8.91520306e-02
2.60439608e-02	7.71540604e+01	8.52767527e-02
2.65050158e-02	7.21590195e+01	8.17208812e-02
2.69660708e-02	6.77989655e+01	7.85685927e-02
2.74271239e-02	6.35355415e+01	7.53671005e-02
2.78881788e-02	5.96878052e+01	7.24166483e-02
2.83492338e-02	5.60047913e+01	6.95375279e-02
2.88102888e-02	5.28652153e+01	6.70310408e-02
2.92713419e-02	4.99214439e+01	6.46467283e-02
2.97323968e-02	4.72601776e+01	6.23913929e-02
3.01934518e-02	4.47725220e+01	6.02456629e-02
3.06545049e-02	4.23696060e+01	5.85135035e-02
3.11155599e-02	4.04043846e+01	5.79031631e-02
3.15766148e-02	3.85874100e+01	5.69335818e-02
3.20376679e-02	3.68559837e+01	5.58099039e-02
3.24987248e-02	3.51799049e+01	5.45644388e-02
3.29597779e-02	3.39146576e+01	5.36510050e-02
3.34208310e-02	3.26134605e+01	5.25418036e-02
3.38818878e-02	3.15509586e+01	5.16130030e-02
3.43429409e-02	3.07454224e+01	5.09280339e-02
3.48039940e-02	2.98831081e+01	5.01123667e-02
3.52650508e-02	2.93012543e+01	4.95561101e-02
3.57261039e-02	2.89279976e+01	4.91649322e-02
3.61871570e-02	2.86000977e+01	4.87894341e-02
3.66482139e-02	2.84912720e+01	4.85322326e-02
3.71092670e-02	2.86843719e+01	4.85814139e-02
3.75703238e-02	2.91049900e+01	4.88499515e-02
3.80313769e-02	2.97746391e+01	4.92821671e-02
3.84924300e-02	3.09169827e+01	5.01234904e-02
3.89534868e-02	3.22253532e+01	5.09839542e-02
3.94145399e-02	3.42292252e+01	5.24202809e-02
3.98755930e-02	3.67927094e+01	5.41426539e-02
4.03366499e-02	4.05742493e+01	5.67017980e-02
4.07977030e-02	4.56991920e+01	5.99435382e-02
4.12587561e-02	5.27797470e+01	6.42342493e-02
4.17198129e-02	6.08746262e+01	6.87815398e-02
4.21808660e-02	6.88831177e+01	7.29072541e-02
4.26419191e-02	7.62104111e+01	7.64791742e-02
4.31029759e-02	8.15691376e+01	7.89004043e-02
4.35640290e-02	8.37986221e+01	7.97039345e-02
4.40250821e-02	8.26734924e+01	7.88860619e-02
4.44861390e-02	7.98877563e+01	7.73001611e-02
4.49471921e-02	7.65415421e+01	7.54102096e-02
4.54082489e-02	7.28449936e+01	7.33543783e-02
4.58693020e-02	6.78771515e+01	7.05308244e-02
4.63303551e-02	6.27745895e+01	6.76771328e-02
4.67914119e-02	5.81165047e+01	6.49452284e-02
4.72524650e-02	5.33237228e+01	6.20246120e-02
4.77135181e-02	4.84461403e+01	5.89165799e-02
4.81745750e-02	4.42056656e+01	5.60808256e-02
4.86356281e-02	3.99267960e+01	5.21536469e-02
4.90966812e-02	3.61910973e+01	4.86829132e-02
4.95577380e-02	3.27527885e+01	4.56466600e-02
5.00187911e-02	2.96769981e+01	4.29769009e-02
5.04798442e-02	2.68506660e+01	4.10945974e-02
5.09409010e-02	2.43732643e+01	3.95140089e-02
5.14019541e-02	2.21830807e+01	3.77738141e-02
5.18630110e-02	2.00384960e+01	3.58775668e-02
5.23240641e-02	1.82108974e+01	3.42133753e-02
5.27851172e-02	1.65827274e+01	3.26250978e-02
5.32461740e-02	1.51123505e+01	3.11162714e-02
5.37072271e-02	1.38578777e+01	2.97567304e-02
5.41682802e-02	1.26237335e+01	2.83382479e-02
5.46293370e-02	1.15768652e+01	2.71179676e-02
5.50903901e-02	1.07170124e+01	2.60649025e-02
5.55514432e-02	9.88444328e+00	2.49630995e-02
5.60125001e-02	9.16964149e+00	2.36501656e-02
5.64735532e-02	8.57699299e+00	2.24195346e-02
5.69346063e-02	8.01081276e+00	2.13785898e-02
5.73956631e-02	7.52948380e+00	2.05410477e-02
5.78567162e-02	7.07740307e+00	1.97498836e-02
5.83177693e-02	6.65940332e+00	1.89819448e-02
5.87788261e-02	6.32916737e+00	1.83933545e-02
5.92398793e-02	5.98168802e+00	1.77467223e-02
5.97009361e-02	5.69866657e+00	1.71846226e-02
6.01619892e-02	5.42038441e+00	1.66247375e-02
6.06230423e-02	5.15539551e+00	1.60998404e-02
6.10840991e-02	4.93144989e+00	1.56508442e-02
6.15451522e-02	4.71078920e+00	1.51771307e-02
6.20062053e-02	4.54264164e+00	1.48208514e-02
6.24672621e-02	4.35061359e+00	1.44099146e-02
6.29283190e-02	4.18293428e+00	1.40518006e-02
6.33893684e-02	4.03927517e+00	1.37204807e-02
6.38504252e-02	3.90238190e+00	1.33965295e-02
6.43114820e-02	3.77117109e+00	1.31239649e-02
6.47725314e-02	3.65817690e+00	1.28781321e-02
6.52335882e-02	3.54114723e+00	1.26242433e-02
6.56946450e-02	3.43505526e+00	1.23846577e-02
6.61556944e-02	3.33679342e+00	1.21460874e-02
6.66167513e-02	3.22963476e+00	1.19139133e-02
6.70778081e-02	3.15658498e+00	1.17388209e-02
6.75388575e-02	3.07876658e+00	1.15346480e-02
6.79999143e-02	2.98378897e+00	1.13122184e-02
6.84609711e-02	2.90393591e+00	1.11344028e-02
6.89220205e-02	2.80483294e+00	1.08997989e-02
6.93830773e-02	2.71962833e+00	1.06921699e-02
6.98441342e-02	2.67022943e+00	1.05687985e-02
7.03051835e-02	2.59350514e+00	1.03872418e-02
7.07662404e-02	2.52599740e+00	1.02387005e-02
7.12272972e-02	2.45858121e+00	1.00772763e-02
7.16883466e-02	2.40249777e+00	9.93925799e-03
7.21494034e-02	2.36741972e+00	9.85886343e-03
7.26104602e-02	2.28987360e+00	9.66103096e-03
7.30715096e-02	2.24836946e+00	9.57000069e-03
7.35325664e-02	2.20237088e+00	9.45369713e-03
7.39936233e-02	2.14953303e+00	9.31281131e-03
7.44546726e-02	2.11548138e+00	9.20906849e-03
7.49157295e-02	2.08487177e+00	9.11929738e-03
7.53767863e-02	2.02930307e+00	8.97092838e-03
7.58378357e-02	1.99535084e+00	8.86359718e-03
7.62988925e-02	1.96462059e+00	8.77297856e-03
7.67599493e-02	1.92916167e+00	8.67095403e-03
7.72210062e-02	1.89666724e+00	8.57215188e-03
7.76820555e-02	1.87028193e+00	8.49595387e-03
7.81431124e-02	1.82928634e+00	8.37147050e-03
7.86041692e-02	1.79843462e+00	8.28574691e-03
7.90652186e-02	1.77152371e+00	8.20220076e-03
7.95262754e-02	1.75944257e+00	8.15705955e-03
7.99873322e-02	1.72862375e+00	8.05910956e-03
8.04483816e-02	1.70384336e+00	7.97709543e-03
8.09094384e-02	1.69829202e+00	7.94276223e-03
8.13704953e-02	1.67902982e+00	7.87331536e-03
8.18315446e-02	1.66914582e+00	7.82845262e-03
8.22926015e-02	1.65456355e+00	7.77854118e-03
8.27536583e-02	1.62421679e+00	7.69114122e-03
8.32147077e-02	1.62889886e+00	7.67822331e-03
8.36757645e-02	1.62188983e+00	7.62839010e-03
8.41368213e-02	1.61897624e+00	7.60309119e-03
8.45978707e-02	1.60297942e+00	7.54368817e-03
8.50589275e-02	1.58609092e+00	7.49030616e-03
8.55199844e-02	1.57484114e+00	7.44221499e-03
8.59810337e-02	1.56620824e+00	7.39918649e-03
8.64420906e-02	1.54749906e+00	7.33824540e-03
8.69031474e-02	1.52053261e+00	7.25438586e-03
8.73641968e-02	1.50226653e+00	7.20338663e-03
8.78252536e-02	1.46680331e+00	7.10118841e-03
8.82863104e-02	1.45776010e+00	7.06804171e-03
8.87473598e-02	1.43890274e+00	7.00025493e-03
8.92084166e-02	1.41536009e+00	6.92569558e-03
8.96694735e-02	1.38555765e+00	6.84661651e-03
9.01305228e-02	1.37445462e+00	6.81925053e-03
