         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   2.66245e+01   0.00000e+00   9.11349e-01   1.00392e+02   2.50000e+01
             1   2.67153e+01   1.00000e+00   9.46526e-01   1.00381e+02   2.51667e+01
             2   2.68358e+01   2.00000e+00   9.75367e-01   1.00371e+02   2.53333e+01
             3   2.70138e+01   3.00000e+00   1.00429e+00   1.00361e+02   2.55000e+01
             4   2.71977e+01   4.00000e+00   1.06308e+00   1.00350e+02   2.56667e+01
             5   2.74058e+01   5.00000e+00   1.10245e+00   1.00344e+02   2.58333e+01
             6   2.76020e+01   6.00000e+00   1.13935e+00   1.00343e+02   2.60000e+01
             7   2.78250e+01   7.00000e+00   1.17699e+00   1.00346e+02   2.61667e+01
             8   2.80213e+01   8.00000e+00   1.23201e+00   1.00356e+02   2.63333e+01
             9   2.82401e+01   9.00000e+00   1.27972e+00   1.00362e+02   2.65000e+01
            10   2.84399e+01   1.00000e+01   1.32753e+00   1.00365e+02   2.66667e+01
            11   2.86717e+01   1.10000e+01   1.37595e+00   1.00367e+02   2.68333e+01
            12   2.89012e+01   1.20000e+01   1.43556e+00   1.00369e+02   2.70000e+01
            13   2.91219e+01   1.30000e+01   1.48915e+00   1.00366e+02   2.71667e+01
            14   2.93547e+01   1.40000e+01   1.54135e+00   1.00360e+02   2.73333e+01
            15   2.95806e+01   1.50000e+01   1.59351e+00   1.00353e+02   2.75000e+01
            16   2.98081e+01   1.60000e+01   1.65184e+00   1.00343e+02   2.76667e+01
            17   3.00389e+01   1.70000e+01   1.70700e+00   1.00339e+02   2.78333e+01
            18   3.02580e+01   1.80000e+01   1.76150e+00   1.00337e+02   2.80000e+01
            19   3.05008e+01   1.90000e+01   1.81605e+00   1.00337e+02   2.81667e+01
            20   3.07212e+01   2.00000e+01   1.87296e+00   1.00339e+02   2.83333e+01
            21   3.09520e+01   2.10000e+01   1.92860e+00   1.00335e+02   2.85000e+01
            22   3.11828e+01   2.20000e+01   1.98365e+00   1.00329e+02   2.86667e+01
            23   3.14094e+01   2.30000e+01   2.03850e+00   1.00321e+02   2.88333e+01
            24   3.16353e+01   2.40000e+01   2.09352e+00   1.00306e+02   2.90000e+01
            25   3.18726e+01   2.50000e+01   2.14838e+00   1.00295e+02   2.91667e+01
            26   3.20891e+01   2.60000e+01   2.20284e+00   1.00286e+02   2.93333e+01
            27   3.23309e+01   2.70000e+01   2.25702e+00   1.00278e+02   2.95000e+01
            28   3.25555e+01   2.80000e+01   2.31062e+00   1.00274e+02   2.96667e+01
            29   3.27876e+01   2.90000e+01   2.36418e+00   1.00271e+02   2.98333e+01
            30   3.30201e+01   3.00000e+01   2.41739e+00   1.00266e+02   3.00000e+01
            31   3.32427e+01   3.10000e+01   2.47038e+00   1.00260e+02   3.01667e+01
            32   3.34794e+01   3.20000e+01   2.52152e+00   1.00256e+02   3.03333e+01
            33   3.37186e+01   3.30000e+01   2.57334e+00   1.00250e+02   3.05000e+01
            34   3.39315e+01   3.40000e+01   2.62503e+00   1.00243e+02   3.06667e+01
            35   3.41555e+01   3.50000e+01   2.67655e+00   1.00235e+02   3.08333e+01
            36   3.43856e+01   3.60000e+01   2.72546e+00   1.00221e+02   3.10000e+01
            37   3.46116e+01   3.70000e+01   2.77565e+00   1.00209e+02   3.11667e+01
            38   3.48362e+01   3.80000e+01   2.82578e+00   1.00201e+02   3.13333e+01
            39   3.50595e+01   3.90000e+01   2.87562e+00   1.00195e+02   3.15000e+01
            40   3.52812e+01   4.00000e+01   2.92332e+00   1.00187e+02   3.16667e+01
            41   3.55100e+01   4.10000e+01   2.97211e+00   1.00177e+02   3.18333e+01
            42   3.57343e+01   4.20000e+01   3.02088e+00   1.00166e+02   3.20000e+01
            43   3.59573e+01   4.30000e+01   3.06940e+00   1.00156e+02   3.21667e+01
            44   3.61816e+01   4.40000e+01   3.11596e+00   1.00146e+02   3.23333e+01
            45   3.64029e+01   4.50000e+01   3.16314e+00   1.00137e+02   3.25000e+01
            46   3.66405e+01   4.60000e+01   3.21020e+00   1.00127e+02   3.26667e+01
            47   3.68446e+01   4.70000e+01   3.25709e+00   1.00116e+02   3.28333e+01
            48   3.70683e+01   4.80000e+01   3.30196e+00   1.00110e+02   3.30000e+01
            49   3.72948e+01   4.90000e+01   3.34758e+00   1.00103e+02   3.31667e+01
            50   3.75309e+01   5.00000e+01   3.39300e+00   1.00096e+02   3.33333e+01
            51   3.77395e+01   5.10000e+01   3.43816e+00   1.00088e+02   3.35000e+01
            52   3.79622e+01   5.20000e+01   3.48108e+00   1.00081e+02   3.36667e+01
            53   3.81773e+01   5.30000e+01   3.52478e+00   1.00074e+02   3.38333e+01
            54   3.83938e+01   5.40000e+01   3.56827e+00   1.00068e+02   3.40000e+01
            55   3.86048e+01   5.50000e+01   3.61144e+00   1.00061e+02   3.41667e+01
            56   3.88268e+01   5.60000e+01   3.65203e+00   1.00050e+02   3.43333e+01
            57   3.90452e+01   5.70000e+01   3.69332e+00   1.00041e+02   3.45000e+01
            58   3.92555e+01   5.80000e+01   3.73445e+00   1.00033e+02   3.46667e+01
            59   3.94641e+01   5.90000e+01   3.77538e+00   1.00024e+02   3.48333e+01
            60   3.96813e+01   6.00000e+01   3.81327e+00   1.00015e+02   3.50000e+01
            61   3.98974e+01   6.10000e+01   3.85241e+00   1.00006e+02   3.51667e+01
            62   4.01119e+01   6.20000e+01   3.89137e+00   9.99973e+01   3.53333e+01
            63   4.03040e+01   6.30000e+01   3.93009e+00   9.99889e+01   3.55000e+01
            64   4.05325e+01   6.40000e+01   3.96570e+00   9.99848e+01   3.56667e+01
            65   4.07265e+01   6.50000e+01   4.00267e+00   9.99787e+01   3.58333e+01
            66   4.09329e+01   6.60000e+01   4.03962e+00   9.99703e+01   3.60000e+01
            67   4.11373e+01   6.70000e+01   4.07632e+00   9.99610e+01   3.61667e+01
            68   4.13482e+01   6.80000e+01   4.10997e+00   9.99519e+01   3.63333e+01
            69   4.15523e+01   6.90000e+01   4.14481e+00   9.99412e+01   3.65000e+01
            70   4.17529e+01   7.00000e+01   4.17948e+00   9.99301e+01   3.66667e+01
            71   4.19553e+01   7.10000e+01   4.21377e+00   9.99188e+01   3.68333e+01
            72   4.21672e+01   7.20000e+01   4.24542e+00   9.99054e+01   3.70000e+01
            73   4.23668e+01   7.30000e+01   4.27811e+00   9.98961e+01   3.71667e+01
            74   4.25693e+01   7.40000e+01   4.31082e+00   9.98896e+01   3.73333e+01
            75   4.27711e+01   7.50000e+01   4.34332e+00   9.98850e+01   3.75000e+01
            76   4.29602e+01   7.60000e+01   4.37288e+00   9.98797e+01   3.76667e+01
            77   4.31594e+01   7.70000e+01   4.40371e+00   9.98692e+01   3.78333e+01
            78   4.33619e+01   7.80000e+01   4.43455e+00   9.98567e+01   3.80000e+01
            79   4.35445e+01   7.90000e+01   4.46528e+00   9.98432e+01   3.81667e+01
            80   4.37460e+01   8.00000e+01   4.49334e+00   9.98234e+01   3.83333e+01
            81   4.39423e+01   8.10000e+01   4.52252e+00   9.98073e+01   3.85000e+01
            82   4.41389e+01   8.20000e+01   4.55164e+00   9.97930e+01   3.86667e+01
            83   4.43388e+01   8.30000e+01   4.58053e+00   9.97804e+01   3.88333e+01
            84   4.45260e+01   8.40000e+01   4.60774e+00   9.97747e+01   3.90000e+01
            85   4.47294e+01   8.50000e+01   4.63558e+00   9.97688e+01   3.91667e+01
            86   4.49094e+01   8.60000e+01   4.66328e+00   9.97622e+01   3.93333e+01
            87   4.51148e+01   8.70000e+01   4.69075e+00   9.97546e+01   3.95000e+01
            88   4.53053e+01   8.80000e+01   4.71589e+00   9.97481e+01   3.96667e+01
            89   4.54947e+01   8.90000e+01   4.74183e+00   9.97363e+01   3.98333e+01
