Opt. Const. of Cauchy Film vs. nm		
Wavelength (nm)	n	k
381.194244	1.664469	0
382.366547	1.664288	0
383.546082	1.664105	0
384.73291	1.66392	0
385.927124	1.663733	0
387.128784	1.663545	0
388.337952	1.663354	0
389.554626	1.663161	0
390.779022	1.662967	0
392.011108	1.66277	0
393.251038	1.662572	0
394.498779	1.662372	0
395.754486	1.662171	0
397.018188	1.661967	0
398.289978	1.661762	0
399.570007	1.661555	0
400.858246	1.661347	0
402.154846	1.661137	0
403.459778	1.660925	0
404.773285	1.660712	0
406.095398	1.660497	0
407.426117	1.66028	0
408.765594	1.660062	0
410.113922	1.659843	0
411.47113	1.659622	0
412.837402	1.659399	0
414.212799	1.659176	0
415.597351	1.65895	0
416.991211	1.658723	0
418.394379	1.658495	0
419.807129	1.658266	0
421.229401	1.658035	0
422.661316	1.657803	0
424.103088	1.65757	0
425.554596	1.657335	0
427.016174	1.657099	0
428.487793	1.656862	0
429.969635	1.656623	0
431.461731	1.656384	0
432.964172	1.656143	0
434.477142	1.655901	0
436.000732	1.655658	0
437.535065	1.655414	0
439.080231	1.655169	0
440.636322	1.654922	0
442.203461	1.654675	0
443.78183	1.654427	0
445.371521	1.654177	0
446.972656	1.653927	0
448.585297	1.653676	0
450.209625	1.653424	0
451.845764	1.65317	0
453.493805	1.652916	0
455.153961	1.652661	0
456.826324	1.652406	0
458.510925	1.652149	0
460.208099	1.651891	0
461.917877	1.651633	0
463.640381	1.651374	0
465.375793	1.651114	0
467.124207	1.650854	0
468.885834	1.650592	0
470.660797	1.65033	0
472.44928	1.650068	0
474.251373	1.649804	0
476.067291	1.64954	0
477.897125	1.649275	0
479.741119	1.64901	0
481.599365	1.648744	0
483.472076	1.648478	0
485.359436	1.648211	0
487.261536	1.647943	0
489.178619	1.647675	0
491.110901	1.647407	0
493.058441	1.647138	0
495.021545	1.646868	0
497.000336	1.646598	0
498.994934	1.646328	0
501.005676	1.646057	0
503.032654	1.645786	0
505.076172	1.645514	0
507.136322	1.645242	0
509.213287	1.64497	0
511.307373	1.644697	0
513.418823	1.644424	0
515.547729	1.644151	0
517.694336	1.643878	0
519.858887	1.643604	0
522.041626	1.64333	0
524.242798	1.643056	0
526.462646	1.642782	0
528.701294	1.642507	0
530.959106	1.642232	0
533.236267	1.641958	0
535.533081	1.641683	0
537.849731	1.641407	0
540.186523	1.641132	0
542.543701	1.640857	0
544.921509	1.640582	0
547.320313	1.640306	0
549.740356	1.640031	0
552.181763	1.639755	0
554.645081	1.63948	0
557.130371	1.639205	0
559.638123	1.638929	0
562.168518	1.638654	0
564.721924	1.638379	0
567.298645	1.638103	0
569.898926	1.637828	0
572.523132	1.637553	0
575.171692	1.637279	0
577.844849	1.637004	0
580.542969	1.636729	0
583.266418	1.636455	0
586.015442	1.636181	0
588.790649	1.635907	0
591.592163	1.635633	0
594.420532	1.63536	0
597.276001	1.635086	0
600.159058	1.634813	0
603.070129	1.634541	0
606.009583	1.634268	0
608.977783	1.633996	0
611.97522	1.633724	0
615.002319	1.633453	0
618.059448	1.633182	0
621.147217	1.632911	0
624.265991	1.632641	0
627.416138	1.632371	0
630.598328	1.632101	0
633.812927	1.631832	0
637.060486	1.631564	0
640.341492	1.631295	0
643.656494	1.631028	0
647.005981	1.630761	0
650.390503	1.630494	0
653.810608	1.630228	0
657.266846	1.629962	0
660.759888	1.629697	0
664.290161	1.629432	0
667.858521	1.629168	0
671.465332	1.628905	0
675.111267	1.628642	0
678.797058	1.62838	0
682.523315	1.628118	0
686.290649	1.627857	0
690.099915	1.627597	0
693.951599	1.627337	0
697.846558	1.627078	0
701.785522	1.62682	0
705.769165	1.626562	0
709.79834	1.626305	0
713.873779	1.626049	0
717.996216	1.625794	0
722.166626	1.625539	0
726.38562	1.625285	0
730.654358	1.625032	0
734.973511	1.624779	0
739.344055	1.624528	0
743.766846	1.624277	0
748.24292	1.624027	0
752.773071	1.623778	0
757.358582	1.62353	0
762.000183	1.623283	0
766.699097	1.623036	0
771.456299	1.62279	0
776.272827	1.622546	0
781.150024	1.622302	0
786.088806	1.622059	0
791.090454	1.621817	0
796.156128	1.621576	0
801.287109	1.621336	0
806.48468	1.621097	0
811.750122	1.620859	0
817.084717	1.620621	0
822.489929	1.620385	0
827.967163	1.62015	0
833.517761	1.619916	0
839.143372	1.619683	0
844.845337	1.619451	0
850.625366	1.61922	0
856.485046	1.61899	0
862.425964	1.618761	0
868.44989	1.618533	0
874.558716	1.618306	0
880.753784	1.618081	0
887.037476	1.617856	0
893.411438	1.617633	0
