Opt. Const. of Cauchy Film vs. nm		
Wavelength (nm)	n	k
381.194244	1.634237	0
382.366547	1.63396	0
383.546082	1.63368	0
384.73291	1.633398	0
385.927124	1.633114	0
387.128784	1.632827	0
388.337952	1.632538	0
389.554626	1.632246	0
390.779022	1.631953	0
392.011108	1.631657	0
393.251038	1.631359	0
394.498779	1.631058	0
395.754486	1.630756	0
397.018188	1.630451	0
398.289978	1.630145	0
399.570007	1.629836	0
400.858246	1.629525	0
402.154846	1.629212	0
403.459778	1.628898	0
404.773285	1.628581	0
406.095398	1.628263	0
407.426117	1.627942	0
408.765594	1.62762	0
410.113922	1.627296	0
411.47113	1.62697	0
412.837402	1.626642	0
414.212799	1.626313	0
415.597351	1.625981	0
416.991211	1.625649	0
418.394379	1.625314	0
419.807129	1.624978	0
421.229401	1.62464	0
422.661316	1.624301	0
424.103088	1.62396	0
425.554596	1.623618	0
427.016174	1.623274	0
428.487793	1.622929	0
429.969635	1.622582	0
431.461731	1.622234	0
432.964172	1.621884	0
434.477142	1.621534	0
436.000732	1.621181	0
437.535065	1.620828	0
439.080231	1.620473	0
440.636322	1.620117	0
442.203461	1.61976	0
443.78183	1.619401	0
445.371521	1.619042	0
446.972656	1.618681	0
448.585297	1.618319	0
450.209625	1.617956	0
451.845764	1.617592	0
453.493805	1.617227	0
455.153961	1.616861	0
456.826324	1.616494	0
458.510925	1.616126	0
460.208099	1.615757	0
461.917877	1.615387	0
463.640381	1.615016	0
465.375793	1.614645	0
467.124207	1.614272	0
468.885834	1.613899	0
470.660797	1.613525	0
472.44928	1.61315	0
474.251373	1.612774	0
476.067291	1.612398	0
477.897125	1.612021	0
479.741119	1.611644	0
481.599365	1.611265	0
483.472076	1.610886	0
485.359436	1.610507	0
487.261536	1.610127	0
489.178619	1.609746	0
491.110901	1.609365	0
493.058441	1.608984	0
495.021545	1.608602	0
497.000336	1.608219	0
498.994934	1.607836	0
501.005676	1.607453	0
503.032654	1.607069	0
505.076172	1.606685	0
507.136322	1.606301	0
509.213287	1.605916	0
511.307373	1.605531	0
513.418823	1.605146	0
515.547729	1.60476	0
517.694336	1.604375	0
519.858887	1.603989	0
522.041626	1.603603	0
524.242798	1.603217	0
526.462646	1.60283	0
528.701294	1.602444	0
530.959106	1.602057	0
533.236267	1.601671	0
535.533081	1.601284	0
537.849731	1.600897	0
540.186523	1.600511	0
542.543701	1.600124	0
544.921509	1.599738	0
547.320313	1.599351	0
549.740356	1.598965	0
552.181763	1.598578	0
554.645081	1.598192	0
557.130371	1.597806	0
559.638123	1.59742	0
562.168518	1.597035	0
564.721924	1.596649	0
567.298645	1.596264	0
569.898926	1.595879	0
572.523132	1.595494	0
575.171692	1.59511	0
577.844849	1.594726	0
580.542969	1.594342	0
583.266418	1.593959	0
586.015442	1.593576	0
588.790649	1.593194	0
591.592163	1.592811	0
594.420532	1.59243	0
597.276001	1.592048	0
600.159058	1.591668	0
603.070129	1.591287	0
606.009583	1.590908	0
608.977783	1.590528	0
611.97522	1.59015	0
615.002319	1.589772	0
618.059448	1.589394	0
621.147217	1.589017	0
624.265991	1.588641	0
627.416138	1.588265	0
630.598328	1.587891	0
633.812927	1.587516	0
637.060486	1.587143	0
640.341492	1.58677	0
643.656494	1.586398	0
647.005981	1.586026	0
650.390503	1.585656	0
653.810608	1.585286	0
657.266846	1.584917	0
660.759888	1.584549	0
664.290161	1.584182	0
667.858521	1.583815	0
671.465332	1.58345	0
675.111267	1.583085	0
678.797058	1.582722	0
682.523315	1.582359	0
686.290649	1.581997	0
690.099915	1.581636	0
693.951599	1.581276	0
697.846558	1.580918	0
701.785522	1.58056	0
705.769165	1.580203	0
709.79834	1.579847	0
713.873779	1.579493	0
717.996216	1.579139	0
722.166626	1.578787	0
726.38562	1.578435	0
730.654358	1.578085	0
734.973511	1.577736	0
739.344055	1.577388	0
743.766846	1.577041	0
748.24292	1.576696	0
752.773071	1.576352	0
757.358582	1.576008	0
762.000183	1.575667	0
766.699097	1.575326	0
771.456299	1.574987	0
776.272827	1.574649	0
781.150024	1.574312	0
786.088806	1.573977	0
791.090454	1.573643	0
796.156128	1.57331	0
801.287109	1.572979	0
806.48468	1.572649	0
811.750122	1.57232	0
817.084717	1.571993	0
822.489929	1.571667	0
827.967163	1.571343	0
833.517761	1.57102	0
839.143372	1.570699	0
844.845337	1.570379	0
850.625366	1.57006	0
856.485046	1.569744	0
862.425964	1.569428	0
868.44989	1.569114	0
874.558716	1.568802	0
880.753784	1.568491	0
887.037476	1.568182	0
893.411438	1.567875	0
